o,h,l,c,v,t
30506.83,30507.46,30491.05,30491.05,0.20518,1688601600000
30488.01,30491.63,30479.6,30480.94,0.30001,1688601660000
30486.4,30486.4,30478.72,30478.72,0.00086,1688601720000
30485.31,30485.31,30483.41,30483.41,2e-05,1688601780000
30483.41,30488.68,30483.41,30488.68,0.00511,1688601840000
30487.81,30490.06,30484.01,30489.27,0.01905,1688601900000
30478.72,30482.8,30473.21,30475.57,0.09774,1688601960000
30474.65,30474.65,30473.67,30473.67,2e-05,1688602020000
30472.19,30472.19,30470.2,30471.51,3e-05,1688602080000
30466.56,30475.2,30466.56,30475.2,0.06623,1688602140000
30474.44,30474.44,30474.44,30474.44,2e-05,1688602200000
30465.37,30470.4,30460.59,30464.73,0.01319,1688602260000
30462.4,30463.54,30462.4,30463.54,2e-05,1688602320000
30463.24,30463.24,30456.4,30456.4,3e-05,1688602380000
30456.14,30457.65,30453.17,30453.17,0.03501,1688602440000
30450.58,30457.79,30446.45,30457.79,0.31087,1688602500000
30460.85,30468.27,30460.85,30467.53,1.3698,1688602560000
30462.8,30462.8,30462.74,30462.74,2e-05,1688602620000
30467.02,30471.0,30462.28,30467.99,0.12323,1688602680000
30469.98,30471.33,30464.73,30471.33,0.27789,1688602740000
30457.7,30476.21,30457.7,30476.21,0.11033,1688602800000
30476.19,30488.17,30476.19,30488.17,0.10839,1688602860000
30482.81,30500.13,30482.81,30495.05,0.30009,1688602920000
30503.88,30509.92,30503.88,30508.01,0.12502,1688602980000
30513.54,30528.7,30513.54,30525.77,0.7164,1688603040000
30521.3,30521.44,30509.91,30521.44,0.10841,1688603100000
30510.06,30512.0,30507.16,30507.16,3e-05,1688603160000
30506.12,30515.93,30506.11,30512.74,0.11767,1688603220000
30506.92,30509.42,30503.08,30509.42,0.02417,1688603280000
30513.42,30513.42,30501.48,30501.48,0.03514,1688603340000
30504.46,30504.46,30500.03,30500.03,0.01581,1688603400000
30502.87,30502.87,30479.45,30479.45,0.13454,1688603460000
30469.63,30469.63,30442.97,30442.98,0.6292,1688603520000
30444.18,30444.18,30422.23,30434.15,0.0616,1688603580000
30433.16,30458.3,30433.16,30458.3,0.03653,1688603640000
30448.61,30448.61,30443.49,30443.49,2e-05,1688603700000
30443.49,30443.49,30443.49,30443.49,0.0,1688603760000
30449.77,30451.25,30449.77,30451.25,2e-05,1688603820000
30447.33,30447.33,30447.33,30447.33,1e-05,1688603880000
30450.61,30451.51,30445.77,30445.77,0.69515,1688603940000
30442.25,30442.25,30442.25,30442.25,1e-05,1688604000000
30423.12,30423.12,30401.09,30417.83,1.34665,1688604060000
30407.53,30419.3,30405.8,30417.83,0.61999,1688604120000
30419.78,30422.58,30416.88,30416.88,0.43001,1688604180000
30412.9,30414.45,30406.89,30410.83,0.0668,1688604240000
30420.61,30420.61,30414.33,30414.33,0.07891,1688604300000
30405.39,30405.39,30389.34,30396.66,0.06567,1688604360000
30392.7,30399.63,30392.33,30392.33,0.05405,1688604420000
30396.4,30407.9,30396.4,30407.9,5e-05,1688604480000
30404.64,30404.64,30396.7,30398.37,0.09666,1688604540000
30397.23,30397.44,30397.23,30397.44,2e-05,1688604600000
30398.37,30405.97,30398.37,30405.05,0.01675,1688604660000
30409.52,30418.06,30409.52,30409.76,0.04003,1688604720000
30411.92,30412.51,30411.92,30412.51,0.00021,1688604780000
30410.87,30419.44,30410.87,30419.44,2e-05,1688604840000
30418.5,30419.84,30415.89,30418.49,0.02395,1688604900000
30414.74,30424.23,30413.33,30424.23,0.00072,1688604960000
30418.44,30418.44,30413.37,30413.37,0.00033,1688605020000
30405.92,30411.03,30405.92,30411.03,0.00119,1688605080000
30413.25,30414.28,30413.25,30414.28,0.03747,1688605140000
30418.5,30420.23,30406.34,30406.34,0.04963,1688605200000
