o,h,l,c,v,t
0.066937,0.066959,0.066919,0.066919,50,1688601600000
0.066902,0.066902,0.066901,0.066901,2,1688601660000
0.066889,0.066889,0.06688,0.066881,213,1688601720000
0.066872,0.066872,0.066845,0.066845,867,1688601780000
0.066844,0.066844,0.066844,0.066844,1,1688601840000
0.066864,0.066864,0.066838,0.066838,4825,1688601900000
0.066839,0.066839,0.066816,0.066816,322,1688601960000
0.066845,0.066861,0.066803,0.066809,8216,1688602020000
0.066805,0.066805,0.066805,0.066805,1,1688602080000
0.06683,0.066865,0.066816,0.066865,300,1688602140000
0.066902,0.066902,0.066857,0.066879,2410,1688602200000
0.066871,0.066889,0.066859,0.066859,3,1688602260000
0.06686,0.06686,0.066859,0.066859,4,1688602320000
0.066843,0.066852,0.066843,0.066852,2,1688602380000
0.06684,0.066852,0.06684,0.066852,3,1688602440000
0.06684,0.066848,0.06684,0.066848,2,1688602500000
0.06684,0.066849,0.06684,0.066849,2,1688602560000
0.066875,0.066881,0.066875,0.066881,3,1688602620000
0.0669,0.0669,0.066891,0.066891,3,1688602680000
0.0669,0.066906,0.06689,0.06689,3,1688602740000
0.066902,0.066945,0.066902,0.066945,1162,1688602800000
0.066962,0.066989,0.066962,0.066989,2,1688602860000
0.067009,0.067029,0.067009,0.067029,3,1688602920000
0.067044,0.067044,0.067044,0.067044,2,1688602980000
0.067043,0.067114,0.067043,0.067098,105,1688603040000
0.0671,0.067142,0.0671,0.067127,2502,1688603100000
0.067126,0.067134,0.067116,0.067123,1749,1688603160000
0.067117,0.067147,0.067117,0.067138,309,1688603220000
0.067152,0.067161,0.067151,0.067161,307,1688603280000
0.067136,0.067154,0.067136,0.067149,3,1688603340000
0.067155,0.067155,0.067143,0.067143,894,1688603400000
0.067139,0.067139,0.0671,0.0671,26,1688603460000
0.067038,0.067038,0.06701,0.06701,712,1688603520000
0.066943,0.066958,0.066917,0.066917,17,1688603580000
0.066902,0.066936,0.066902,0.066936,309,1688603640000
0.066932,0.066932,0.066932,0.066932,1,1688603700000
0.066908,0.066908,0.06689,0.06689,299,1688603760000
0.066848,0.06686,0.0668,0.06682,1440,1688603820000
0.066847,0.066849,0.066847,0.066849,310,1688603880000
0.06689,0.066893,0.06689,0.066893,2,1688603940000
0.066903,0.066903,0.066872,0.066872,310,1688604000000
0.066849,0.066849,0.066839,0.066839,3,1688604060000
0.066827,0.066827,0.066822,0.066823,300,1688604120000
0.066823,0.066831,0.066823,0.066831,2,1688604180000
0.066831,0.066831,0.066823,0.066823,2,1688604240000
0.066858,0.066902,0.066858,0.066885,5918,1688604300000
0.066827,0.066827,0.066814,0.066814,2,1688604360000
0.06682,0.066823,0.066801,0.066801,13,1688604420000
0.066789,0.066789,0.066768,0.066769,311,1688604480000
0.066778,0.066793,0.066778,0.066793,2,1688604540000
0.066792,0.066792,0.066788,0.066789,3,1688604600000
0.066776,0.066776,0.066774,0.066774,2,1688604660000
0.066816,0.066831,0.066816,0.066817,969,1688604720000
0.066817,0.066817,0.0668,0.0668,90,1688604780000
0.066798,0.066852,0.06678,0.066852,114,1688604840000
0.066827,0.066827,0.066802,0.066806,310,1688604900000
0.06678,0.06678,0.06678,0.06678,1,1688604960000
0.066777,0.066777,0.066723,0.066723,28,1688605020000
0.06669,0.066699,0.06665,0.06667,25,1688605080000
0.066682,0.066696,0.066682,0.066696,312,1688605140000
0.066741,0.066786,0.066738,0.066763,49032,1688605200000
0.066721,0.06674,0.06672,0.06674,3834,1688605260000
0.066706,0.066737,0.066706,0.066737,13,1688605320000
0.066716,0.066745,0.066716,0.066745,300,1688605380000
0.066745,0.066767,0.066745,0.066767,2,1688605440000
0.066745,0.066806,0.066745,0.066806,173,1688605500000
0.066807,0.066858,0.066807,0.066858,299,1688605560000
0.066856,0.066856,0.066817,0.066817,358,1688605620000
0.066804,0.066804,0.06678,0.06678,1101,1688605680000
0.066801,0.066801,0.066789,0.066789,2,1688605740000
0.066768,0.066778,0.066765,0.066765,3,1688605800000
0.066774,0.066781,0.066773,0.066777,12,1688605860000
0.066723,0.066754,0.06672,0.066739,900,1688605920000
0.066745,0.066745,0.066745,0.066745,1,1688605980000
0.066762,0.066775,0.066752,0.066752,70,1688606040000
0.066756,0.066757,0.066756,0.066757,2,1688606100000
0.066774,0.066774,0.066748,0.066748,2,1688606160000
0.06671,0.06671,0.066709,0.06671,309,1688606220000
0.066698,0.066705,0.066698,0.066705,2,1688606280000
0.066699,0.06671,0.066699,0.066699,4,1688606340000
0.066703,0.066703,0.06654,0.06654,24,1688606400000
0.066558,0.066569,0.066558,0.066569,2,1688606460000
0.066617,0.066628,0.066609,0.066609,325,1688606520000
0.066621,0.066621,0.066609,0.066609,2,1688606580000
0.066641,0.066641,0.066641,0.066641,1,1688606640000
0.066641,0.066652,0.066641,0.066652,296,1688606700000
0.066653,0.066677,0.066653,0.066677,309,1688606760000
0.066698,0.066748,0.066698,0.066739,3487,1688606820000
0.066736,0.066736,0.066723,0.066723,2,1688606880000
0.066753,0.066756,0.066741,0.066743,318,1688606940000
0.066746,0.066746,0.066742,0.066742,312,1688607000000
0.066742,0.066743,0.066734,0.066734,308,1688607060000
0.066767,0.066777,0.066767,0.066768,3,1688607120000
0.066761,0.066769,0.066761,0.066769,3,1688607180000
0.066781,0.066781,0.066781,0.066781,1,1688607240000
0.066783,0.066783,0.06636,0.066386,207151,1688607300000
0.066449,0.066502,0.066449,0.066498,278,1688607360000
0.066493,0.066493,0.066469,0.066469,308,1688607420000
0.066491,0.066598,0.066488,0.066598,8921,1688607480000
0.066643,0.066643,0.06664,0.066641,4,1688607540000
0.066651,0.066651,0.066651,0.066651,1,1688607600000
0.066668,0.066719,0.066668,0.066719,13,1688607660000
0.066732,0.066732,0.06673,0.06673,310,1688607720000
0.066715,0.066726,0.066712,0.066726,301,1688607780000
0.066721,0.066744,0.066721,0.066744,661,1688607840000
0.066746,0.066746,0.066734,0.066734,2,1688607900000
0.06674,0.06674,0.066716,0.066729,841,1688607960000
0.066745,0.06678,0.066738,0.06678,27,1688608020000
0.066815,0.066818,0.066815,0.066818,2,1688608080000
0.066829,0.066848,0.066829,0.06684,491,1688608140000
0.066839,0.066839,0.066827,0.066827,2,1688608200000
0.066827,0.066827,0.066816,0.066817,3,1688608260000
0.06681,0.06681,0.066809,0.066809,2,1688608320000
0.066824,0.066858,0.066818,0.066858,1007,1688608380000
0.066842,0.066848,0.066842,0.066848,2,1688608440000
0.066856,0.066856,0.066851,0.066856,5,1688608500000
0.066857,0.066883,0.066857,0.066868,23,1688608560000
0.066902,0.066923,0.066902,0.066918,14,1688608620000
0.066938,0.066988,0.066938,0.066988,25,1688608680000
0.067008,0.067008,0.066994,0.066994,2,1688608740000
0.067,0.067019,0.067,0.067019,3,1688608800000
0.067021,0.067059,0.067021,0.067059,73,1688608860000
0.06706,0.067107,0.06706,0.067107,1271,1688608920000
0.067096,0.067109,0.067086,0.067099,733,1688608980000
0.067016,0.067038,0.067016,0.067038,5556,1688609040000
0.067027,0.067027,0.067009,0.067026,304,1688609100000
0.067019,0.067068,0.067019,0.067068,11,1688609160000
0.067084,0.06711,0.067084,0.067108,1444,1688609220000
0.067156,0.067179,0.067148,0.067179,24,1688609280000
0.067166,0.067166,0.067156,0.067156,156,1688609340000
