o,h,l,c,v,t
5.2061,5.2061,5.1955,5.1955,245.6,1688601600000
5.1966,5.1966,5.195,5.195,0.02,1688601660000
5.1984,5.2004,5.1984,5.1994,0.03,1688601720000
5.1964,5.1964,5.1921,5.1921,0.02,1688601780000
5.1911,5.1911,5.1911,5.1911,0.01,1688601840000
5.1919,5.1919,5.1908,5.1908,0.03,1688601900000
5.1897,5.1897,5.188,5.188,0.02,1688601960000
5.189,5.1904,5.189,5.1904,0.02,1688602020000
5.1902,5.1924,5.1894,5.1924,0.03,1688602080000
5.198,5.1984,5.197,5.1984,2.03,1688602140000
5.1994,5.1994,5.1981,5.1981,0.02,1688602200000
5.1974,5.1984,5.1947,5.1947,2.65,1688602260000
5.1925,5.1925,5.1925,5.1925,0.01,1688602320000
5.1914,5.1933,5.1914,5.1924,0.03,1688602380000
5.1924,5.1944,5.1924,5.1944,0.02,1688602440000
5.1944,5.1944,5.1925,5.1925,0.02,1688602500000
5.1936,5.1961,5.1936,5.1961,0.02,1688602560000
5.1987,5.1987,5.1984,5.1984,0.02,1688602620000
5.1982,5.1982,5.1971,5.1971,0.02,1688602680000
5.197,5.1987,5.197,5.1987,0.03,1688602740000
5.2009,5.2009,5.2,5.2,0.02,1688602800000
5.2031,5.2031,5.2031,5.2031,0.02,1688602860000
5.2053,5.2088,5.2053,5.2088,0.03,1688602920000
5.2094,5.213,5.2094,5.213,0.03,1688602980000
5.2135,5.2178,5.2135,5.2178,0.02,1688603040000
5.2156,5.2176,5.2156,5.2176,0.03,1688603100000
5.2156,5.2156,5.2156,5.2156,0.02,1688603160000
5.2156,5.2161,5.2156,5.2161,0.02,1688603220000
5.2172,5.218,5.2172,5.218,0.02,1688603280000
5.2175,5.2186,5.2175,5.2185,0.03,1688603340000
5.2184,5.2184,5.2182,5.2182,11.5,1688603400000
5.2131,5.2131,5.2057,5.2057,0.03,1688603460000
5.2033,5.2033,5.1934,5.1934,0.02,1688603520000
5.1946,5.1946,5.191,5.191,0.02,1688603580000
5.1913,5.195,5.1913,5.195,0.03,1688603640000
5.1931,5.1955,5.1931,5.1955,0.02,1688603700000
5.1947,5.1951,5.191,5.1942,305.87,1688603760000
5.1967,5.1968,5.1967,5.1967,66.26,1688603820000
5.1954,5.1968,5.1954,5.1964,1.94,1688603880000
5.1984,5.1984,5.1969,5.1969,0.02,1688603940000
5.1947,5.1947,5.1937,5.1937,0.02,1688604000000
5.19,5.19,5.186,5.186,0.03,1688604060000
5.1881,5.1881,5.187,5.187,0.02,1688604120000
5.1877,5.1877,5.1875,5.1875,0.03,1688604180000
5.1859,5.1859,5.1843,5.1843,0.02,1688604240000
5.1901,5.1901,5.1901,5.1901,0.01,1688604300000
5.1903,5.1903,5.1845,5.1845,0.04,1688604360000
5.1847,5.1858,5.1829,5.1829,46.67,1688604420000
5.1841,5.1841,5.1837,5.1837,0.02,1688604480000
5.1844,5.1844,5.1843,5.1843,0.02,1688604540000
5.184,5.184,5.184,5.184,0.01,1688604600000
5.181,5.1827,5.181,5.1827,0.03,1688604660000
5.185,5.185,5.1841,5.1841,21.12,1688604720000
5.1823,5.1834,5.1823,5.1834,57.44,1688604780000
5.1834,5.1857,5.1834,5.1857,0.02,1688604840000
5.1874,5.1883,5.1874,5.1883,0.02,1688604900000
5.1892,5.1903,5.1892,5.1903,0.02,1688604960000
5.1905,5.1905,5.1894,5.1894,0.02,1688605020000
5.1874,5.1894,5.1874,5.1875,0.03,1688605080000
5.1864,5.1864,5.1844,5.1844,0.03,1688605140000
5.1878,5.1878,5.1859,5.1859,0.03,1688605200000
5.1858,5.1858,5.1858,5.1858,0.02,1688605260000
5.1854,5.1854,5.1844,5.1844,0.02,1688605320000
5.1884,5.1884,5.1869,5.1869,0.02,1688605380000
5.1884,5.1884,5.1873,5.1873,0.02,1688605440000
5.189,5.1912,5.189,5.1912,0.02,1688605500000
5.1951,5.197,5.1951,5.197,0.02,1688605560000
5.197,5.197,5.1954,5.1954,0.03,1688605620000
5.1934,5.1934,5.1915,5.1915,0.02,1688605680000
5.1924,5.1924,5.1874,5.1874,0.02,1688605740000
5.1828,5.1854,5.1828,5.1854,0.03,1688605800000
