o,h,l,c,v,t
102.589,102.589,102.381,102.381,0.02,1688601600000
102.303,102.303,102.183,102.183,1.799,1688601660000
102.354,102.355,102.209,102.209,0.414,1688601720000
102.234,102.249,102.119,102.12,10.017,1688601780000
102.18,102.18,102.169,102.169,0.002,1688601840000
102.169,102.181,102.15,102.15,0.019,1688601900000
102.176,102.177,102.039,102.091,1.894,1688601960000
102.152,102.152,101.932,101.973,5.35,1688602020000
102.026,102.026,102.01,102.013,0.196,1688602080000
102.02,102.121,102.02,102.12,0.212,1688602140000
102.098,102.098,101.976,102.043,3.542,1688602200000
102.042,102.042,101.971,101.971,0.014,1688602260000
101.968,101.968,101.925,101.949,0.021,1688602320000
101.959,102.062,101.918,101.973,89.288,1688602380000
101.923,101.974,101.915,101.969,1.82,1688602440000
102.012,102.033,101.989,101.989,0.294,1688602500000
102.156,102.197,102.156,102.169,0.797,1688602560000
102.192,102.239,102.192,102.239,0.203,1688602620000
102.251,102.316,102.226,102.316,26.142,1688602680000
102.333,102.333,102.33,102.33,0.202,1688602740000
102.293,102.339,102.293,102.339,0.2,1688602800000
102.395,102.419,102.353,102.419,0.01,1688602860000
102.444,102.665,102.444,102.665,121.386,1688602920000
102.686,102.701,102.686,102.701,0.002,1688602980000
102.703,102.704,102.668,102.668,0.014,1688603040000
102.714,102.714,102.709,102.709,0.002,1688603100000
102.72,102.787,102.72,102.738,30.164,1688603160000
102.75,102.824,102.716,102.823,20.706,1688603220000
102.858,102.858,102.838,102.838,0.194,1688603280000
102.849,102.86,102.801,102.834,0.229,1688603340000
102.731,102.765,102.73,102.765,0.01,1688603400000
102.735,102.735,102.581,102.581,2.41,1688603460000
102.543,102.543,102.346,102.346,18.591,1688603520000
102.293,102.293,102.119,102.177,0.598,1688603580000
102.305,102.457,102.305,102.349,0.212,1688603640000
102.385,102.385,102.305,102.305,0.008,1688603700000
102.245,102.245,102.242,102.242,0.012,1688603760000
102.297,102.309,102.297,102.297,0.203,1688603820000
102.31,102.344,102.299,102.319,0.507,1688603880000
102.301,102.322,102.3,102.322,0.201,1688603940000
102.253,102.279,102.167,102.167,0.851,1688604000000
102.061,102.061,102.022,102.031,22.859,1688604060000
102.01,102.025,101.963,101.996,83.277,1688604120000
102.034,102.125,101.979,102.059,24.034,1688604180000
102.043,102.043,102.043,102.043,0.001,1688604240000
102.124,102.214,102.124,102.214,0.018,1688604300000
102.179,102.179,101.996,101.996,0.208,1688604360000
101.968,101.968,101.816,101.835,0.828,1688604420000
101.839,101.854,101.839,101.854,0.2,1688604480000
101.9,101.902,101.824,101.852,0.206,1688604540000
101.821,101.827,101.725,101.725,10.325,1688604600000
101.819,101.913,101.819,101.89,0.7,1688604660000
101.84,101.901,101.84,101.897,0.466,1688604720000
101.877,101.877,101.783,101.784,0.715,1688604780000
101.937,101.997,101.916,101.997,0.017,1688604840000
101.948,101.948,101.909,101.909,0.003,1688604900000
101.909,101.909,101.891,101.891,0.198,1688604960000
101.853,101.853,101.609,101.609,4.514,1688605020000
101.705,101.705,101.644,101.646,0.011,1688605080000
101.674,101.771,101.674,101.741,40.003,1688605140000
101.804,101.805,101.774,101.787,0.007,1688605200000
101.796,101.796,101.653,101.653,0.356,1688605260000
101.623,101.741,101.623,101.741,0.352,1688605320000
101.71,101.816,101.71,101.816,0.01,1688605380000
101.852,101.856,101.852,101.856,0.009,1688605440000
101.865,102.016,101.865,102.016,18.115,1688605500000
102.01,102.135,102.01,102.135,0.01,1688605560000
102.097,102.131,102.097,102.131,0.002,1688605620000
102.114,102.116,102.076,102.116,0.019,1688605680000
102.165,102.252,102.089,102.124,1.11,1688605740000
102.147,102.506,102.147,102.506,1.04,1688605800000
102.609,102.625,102.138,102.138,0.38,1688605860000
102.118,102.186,102.118,102.186,0.201,1688605920000
102.141,102.271,102.13,102.271,0.019,1688605980000
102.217,102.22,102.155,102.22,0.469,1688606040000
102.333,102.427,102.333,102.427,1.802,1688606100000
102.343,102.398,102.31,102.31,0.211,1688606160000
102.266,102.324,102.17,102.324,0.221,1688606220000
102.325,102.347,102.265,102.329,0.62,1688606280000
102.359,102.476,102.327,102.476,0.223,1688606340000
102.439,102.439,101.975,102.079,0.828,1688606400000
102.045,102.075,102.01,102.01,2.943,1688606460000
102.046,102.118,101.988,101.988,0.81,1688606520000
101.992,102.036,101.992,102.007,0.771,1688606580000
102.045,102.062,102.045,102.047,0.02,1688606640000
102.026,102.059,102.024,102.024,1.154,1688606700000
102.055,102.179,102.05,102.179,0.617,1688606760000
102.237,102.316,102.159,102.159,4.903,1688606820000
102.175,102.175,102.121,102.121,0.002,1688606880000
102.174,102.363,102.174,102.363,0.032,1688606940000
102.348,102.413,102.341,102.413,0.016,1688607000000
102.416,102.581,102.407,102.581,0.022,1688607060000
102.601,102.866,102.57,102.866,0.087,1688607120000
102.825,102.842,102.739,102.788,0.408,1688607180000
102.753,102.797,102.752,102.783,0.394,1688607240000
102.824,102.824,102.741,102.777,0.208,1688607300000
102.695,102.719,102.691,102.719,0.012,1688607360000
102.588,102.604,102.588,102.604,0.002,1688607420000
102.611,102.611,102.52,102.54,0.017,1688607480000
102.55,102.55,102.459,102.459,0.168,1688607540000
102.502,102.502,102.497,102.497,0.002,1688607600000
102.619,102.62,102.565,102.565,0.199,1688607660000
102.701,102.701,102.68,102.68,2.195,1688607720000
102.713,102.713,102.667,102.685,0.009,1688607780000
102.572,102.589,102.562,102.589,10.525,1688607840000
102.585,102.585,102.565,102.576,0.969,1688607900000
102.575,102.575,102.544,102.552,0.018,1688607960000
102.522,102.522,102.478,102.478,0.009,1688608020000
102.456,102.456,102.381,102.381,0.003,1688608080000
102.433,102.433,102.419,102.419,1.537,1688608140000
102.425,102.452,102.41,102.41,0.012,1688608200000
102.337,102.337,102.282,102.282,2.58,1688608260000
102.314,102.314,102.254,102.283,0.006,1688608320000
102.254,102.329,102.254,102.329,0.002,1688608380000
102.353,102.428,102.353,102.428,0.347,1688608440000
102.46,102.471,102.46,102.471,0.002,1688608500000
102.588,102.721,102.588,102.659,0.538,1688608560000
102.692,102.798,102.692,102.798,0.199,1688608620000
102.788,102.879,102.788,102.879,0.01,1688608680000
102.968,103.03,102.938,103.03,4.01,1688608740000
102.944,102.978,102.941,102.978,0.762,1688608800000
102.956,103.249,102.954,103.249,23.933,1688608860000
103.284,103.309,103.188,103.188,11.461,1688608920000
103.178,103.189,103.121,103.121,0.011,1688608980000
103.147,103.147,103.126,103.126,0.39,1688609040000
103.218,103.322,103.199,103.322,1.493,1688609100000
103.239,103.354,103.239,103.354,0.4,1688609160000
103.48,103.492,103.378,103.378,0.215,1688609220000
103.378,103.474,103.378,103.449,0.742,1688609280000
103.398,103.398,103.38,103.38,0.5,1688609340000
103.352,103.517,103.352,103.517,0.222,1688609400000
103.499,103.608,103.499,103.608,0.351,1688609460000
103.665,103.714,103.548,103.548,2.351,1688609520000
103.381,103.458,103.38,103.458,0.213,1688609580000
103.4,103.4,103.328,103.344,23.809,1688609640000
103.35,103.457,103.318,103.457,0.403,1688609700000
103.589,103.713,103.589,103.713,1.505,1688609760000
103.715,103.715,103.654,103.654,10.361,1688609820000
103.713,103.777,103.678,103.698,0.879,1688609880000
103.721,103.721,103.683,103.683,0.011,1688609940000
103.686,103.738,103.686,103.738,0.002,1688610000000
103.808,103.972,103.808,103.869,0.406,1688610060000
103.847,103.957,103.847,103.957,0.002,1688610120000
103.978,103.978,103.84,103.877,3.136,1688610180000
103.79,103.79,103.738,103.744,0.021,1688610240000
103.679,103.688,103.537,103.538,0.142,1688610300000
103.535,103.57,103.535,103.569,0.393,1688610360000
103.559,103.559,103.47,103.472,0.019,1688610420000
103.498,103.521,103.497,103.499,0.399,1688610480000
103.518,103.518,103.516,103.516,0.002,1688610540000
103.526,103.543,103.526,103.543,0.002,1688610600000
103.55,103.552,103.55,103.552,0.002,1688610660000
103.549,103.698,103.549,103.62,11.966,1688610720000
103.581,103.581,103.498,103.498,0.225,1688610780000
103.509,103.509,103.509,103.509,0.001,1688610840000
103.478,103.481,103.478,103.481,0.002,1688610900000
103.503,103.524,103.503,103.52,0.003,1688610960000
103.514,103.514,103.475,103.475,6.296,1688611020000
103.462,103.462,103.447,103.447,0.003,1688611080000
103.458,103.481,103.458,103.458,0.015,1688611140000
103.456,103.456,103.421,103.421,0.002,1688611200000
103.42,103.428,103.381,103.381,33.154,1688611260000
103.448,103.511,103.448,103.511,17.9,1688611320000
103.511,103.549,103.511,103.548,194.724,1688611380000
103.486,103.487,103.36,103.36,117.088,1688611440000
103.29,103.29,103.229,103.229,0.01,1688611500000
103.19,103.19,103.189,103.189,0.002,1688611560000
103.201,103.274,103.201,103.274,2.383,1688611620000
103.306,103.328,103.3,103.328,0.003,1688611680000
103.321,103.321,103.308,103.308,0.002,1688611740000
103.361,103.478,103.361,103.478,0.003,1688611800000
103.529,103.64,103.529,103.64,0.434,1688611860000
103.632,103.632,103.604,103.604,0.209,1688611920000
103.625,103.658,103.625,103.658,0.002,1688611980000
103.66,103.66,103.583,103.583,0.158,1688612040000
103.573,103.573,103.519,103.519,0.016,1688612100000
103.537,103.541,103.512,103.512,1.029,1688612160000
103.505,103.505,103.439,103.439,0.011,1688612220000
103.434,103.434,103.386,103.386,0.009,1688612280000
103.35,103.402,103.35,103.402,0.002,1688612340000
103.403,103.519,103.403,103.519,0.195,1688612400000
103.536,103.558,103.521,103.533,2.292,1688612460000
103.544,103.544,103.51,103.51,0.017,1688612520000
103.447,103.447,103.385,103.385,0.16,1688612580000
103.4,103.4,103.4,103.4,0.001,1688612640000
103.36,103.438,103.36,103.438,0.003,1688612700000
103.467,103.467,103.439,103.439,0.006,1688612760000
103.398,103.53,103.398,103.53,0.198,1688612820000
103.528,103.528,103.376,103.376,0.213,1688612880000
103.436,103.436,103.436,103.436,0.001,1688612940000
103.537,103.556,103.537,103.551,0.197,1688613000000
103.611,103.611,103.61,103.61,0.196,1688613060000
103.535,103.557,103.47,103.522,0.224,1688613120000
103.49,103.521,103.49,103.521,0.002,1688613180000
103.608,103.609,103.561,103.561,0.006,1688613240000
103.59,103.59,103.566,103.567,0.206,1688613300000
103.554,103.588,103.554,103.588,0.002,1688613360000
103.606,103.606,103.595,103.595,0.002,1688613420000
103.6,103.619,103.6,103.619,0.003,1688613480000
103.623,103.639,103.606,103.639,0.009,1688613540000
103.618,103.747,103.618,103.704,0.347,1688613600000
103.757,103.757,103.74,103.74,0.152,1688613660000
103.768,103.768,103.667,103.731,0.479,1688613720000
103.719,103.719,103.649,103.649,0.018,1688613780000
103.597,103.597,103.559,103.577,0.018,1688613840000
103.586,103.591,103.586,103.59,0.395,1688613900000
103.539,103.568,103.538,103.568,0.016,1688613960000
103.547,103.581,103.547,103.581,0.199,1688614020000
103.605,103.651,103.605,103.621,0.008,1688614080000
103.609,103.61,103.609,103.61,0.002,1688614140000
103.608,103.682,103.608,103.62,0.214,1688614200000
103.627,103.627,103.544,103.544,0.011,1688614260000
103.516,103.523,103.505,103.505,0.003,1688614320000
103.519,103.521,103.519,103.521,0.002,1688614380000
103.537,103.557,103.531,103.557,0.201,1688614440000
103.597,103.656,103.597,103.656,0.252,1688614500000
103.645,103.645,103.629,103.629,0.206,1688614560000
103.603,103.608,103.603,103.608,0.002,1688614620000
103.607,103.607,103.594,103.594,0.002,1688614680000
103.59,103.59,103.522,103.522,1.412,1688614740000
103.539,103.539,103.539,103.539,0.001,1688614800000
103.542,103.6,103.542,103.599,0.398,1688614860000
103.565,103.723,103.565,103.678,2.867,1688614920000
103.73,103.789,103.73,103.743,0.018,1688614980000
103.812,103.835,103.812,103.835,0.008,1688615040000
103.834,103.842,103.834,103.842,2.402,1688615100000
103.85,103.856,103.85,103.856,0.002,1688615160000
103.852,103.856,103.809,103.809,0.343,1688615220000
103.799,103.799,103.722,103.722,0.019,1688615280000
103.678,103.703,103.678,103.703,0.015,1688615340000
103.705,103.706,103.668,103.673,0.2,1688615400000
103.668,103.668,103.621,103.658,1.373,1688615460000
103.63,103.63,103.526,103.586,0.327,1688615520000
103.607,103.638,103.568,103.616,0.692,1688615580000
103.629,103.648,103.629,103.648,0.002,1688615640000
103.649,103.748,103.649,103.748,0.002,1688615700000
103.761,103.761,103.689,103.694,0.972,1688615760000
103.669,103.671,103.669,103.671,0.002,1688615820000
103.688,103.746,103.687,103.738,1.438,1688615880000
103.749,103.749,103.729,103.729,0.003,1688615940000
103.759,103.763,103.709,103.731,0.746,1688616000000
103.785,103.785,103.7,103.7,0.209,1688616060000
103.611,103.625,103.553,103.553,99.944,1688616120000
103.618,103.618,103.519,103.538,1.521,1688616180000
103.471,103.471,103.419,103.421,0.021,1688616240000
103.446,103.447,103.418,103.418,0.199,1688616300000
103.453,103.479,103.451,103.479,0.209,1688616360000
103.449,103.452,103.429,103.429,0.04,1688616420000
103.452,103.452,103.339,103.339,0.043,1688616480000
103.378,103.378,103.241,103.241,0.675,1688616540000
103.191,103.192,103.139,103.139,0.133,1688616600000
103.098,103.188,103.098,103.188,0.873,1688616660000
103.314,103.314,103.221,103.262,0.774,1688616720000
103.246,103.287,103.246,103.266,0.009,1688616780000
103.26,103.284,103.26,103.284,0.002,1688616840000
103.306,103.329,103.306,103.311,0.194,1688616900000
103.322,103.35,103.32,103.341,1.182,1688616960000
103.389,103.41,103.389,103.409,2.071,1688617020000
103.435,103.435,103.435,103.435,0.001,1688617080000
103.44,103.44,103.369,103.383,1.092,1688617140000
103.395,103.417,103.372,103.413,3.185,1688617200000
103.441,103.441,103.441,103.441,0.002,1688617260000
103.415,103.416,103.415,103.416,0.002,1688617320000
103.353,103.355,103.279,103.279,0.223,1688617380000
103.237,103.292,103.221,103.221,0.419,1688617440000
103.257,103.276,103.248,103.276,0.2,1688617500000
103.329,103.33,103.274,103.276,0.205,1688617560000
103.318,103.346,103.318,103.319,0.202,1688617620000
103.342,103.342,103.333,103.333,0.002,1688617680000
103.321,103.321,103.167,103.189,1.214,1688617740000
103.18,103.227,103.179,103.197,10.931,1688617800000
103.189,103.228,103.189,103.228,0.002,1688617860000
103.211,103.211,103.14,103.14,0.216,1688617920000
103.148,103.148,102.959,102.959,109.747,1688617980000
102.915,102.962,102.906,102.906,4.314,1688618040000
102.913,102.914,102.913,102.914,0.2,1688618100000
103.023,103.023,102.92,102.92,0.589,1688618160000
102.878,102.878,102.862,102.862,0.002,1688618220000
102.861,102.863,102.861,102.863,0.002,1688618280000
102.879,102.925,102.879,102.925,0.002,1688618340000
102.894,102.905,102.894,102.905,0.002,1688618400000
102.894,102.894,102.879,102.879,0.016,1688618460000
102.833,102.833,102.782,102.796,0.902,1688618520000
102.801,102.801,102.773,102.773,0.004,1688618580000
102.773,102.803,102.773,102.79,0.016,1688618640000
102.788,102.81,102.788,102.81,0.002,1688618700000
102.91,102.97,102.91,102.94,0.196,1688618760000
102.914,102.914,102.914,102.914,0.001,1688618820000
102.913,102.947,102.913,102.946,0.384,1688618880000
102.946,102.946,102.815,102.815,0.495,1688618940000
102.78,102.838,102.78,102.838,0.003,1688619000000
102.868,102.885,102.868,102.885,0.017,1688619060000
102.885,102.912,102.85,102.85,0.187,1688619120000
102.921,102.921,102.915,102.915,0.022,1688619180000
102.915,102.915,102.83,102.83,4.755,1688619240000
102.841,102.845,102.841,102.845,0.002,1688619300000
102.859,102.898,102.859,102.898,0.002,1688619360000
102.902,102.902,102.831,102.831,0.105,1688619420000
102.777,102.781,102.777,102.781,0.002,1688619480000
102.782,102.786,102.782,102.786,0.413,1688619540000
102.879,102.88,102.833,102.88,0.629,1688619600000
102.928,102.985,102.928,102.934,2.08,1688619660000
102.945,102.945,102.791,102.791,0.192,1688619720000
102.769,102.769,102.757,102.757,0.002,1688619780000
102.788,102.788,102.778,102.778,0.194,1688619840000
102.771,102.771,102.641,102.641,0.491,1688619900000
102.672,102.672,102.565,102.565,1.894,1688619960000
102.57,102.57,102.57,102.57,0.001,1688620020000
102.509,102.509,102.325,102.325,4.023,1688620080000
102.41,102.421,102.321,102.321,37.377,1688620140000
102.295,102.377,102.295,102.377,0.199,1688620200000
102.36,102.418,102.36,102.39,0.452,1688620260000
102.382,102.454,102.382,102.44,0.01,1688620320000
102.479,102.508,102.461,102.508,0.003,1688620380000
102.482,102.482,102.44,102.44,0.221,1688620440000
102.389,102.587,102.389,102.587,0.2,1688620500000
102.661,102.718,102.661,102.699,0.004,1688620560000
102.764,102.933,102.764,102.904,2.438,1688620620000
102.911,102.916,102.905,102.916,0.214,1688620680000
102.885,102.885,102.854,102.854,0.003,1688620740000
102.974,102.975,102.941,102.941,0.195,1688620800000
102.966,102.966,102.942,102.942,0.196,1688620860000
102.929,102.929,102.654,102.735,60.103,1688620920000
102.756,102.756,102.756,102.756,0.001,1688620980000
102.738,102.772,102.738,102.772,15.002,1688621040000
102.796,102.855,102.796,102.855,0.002,1688621100000
102.917,102.917,102.854,102.854,0.495,1688621160000
102.848,102.859,102.802,102.859,31.54,1688621220000
102.881,102.925,102.881,102.921,12.804,1688621280000
103.056,103.114,103.031,103.114,90.006,1688621340000
103.155,103.214,103.13,103.214,10.567,1688621400000
103.231,103.238,103.19,103.19,0.432,1688621460000
103.207,103.211,103.207,103.208,1.835,1688621520000
103.22,103.22,103.147,103.147,0.11,1688621580000
103.181,103.383,103.181,103.383,0.775,1688621640000
103.441,103.975,103.441,103.975,44.381,1688621700000
103.969,104.085,103.854,104.085,10.66,1688621760000
104.091,104.352,103.934,104.352,0.433,1688621820000
104.306,104.33,104.229,104.33,1.273,1688621880000
104.279,104.279,104.277,104.277,0.015,1688621940000
104.347,104.53,104.347,104.369,117.108,1688622000000
104.555,104.668,104.555,104.624,1.099,1688622060000
104.56,104.56,104.138,104.531,14.992,1688622120000
104.7,104.879,104.7,104.756,1.284,1688622180000
104.791,104.884,104.728,104.884,11.389,1688622240000
104.888,104.888,104.793,104.864,2.35,1688622300000
104.929,105.095,104.929,105.095,0.017,1688622360000
105.181,105.462,105.076,105.462,0.605,1688622420000
105.4,105.499,105.038,105.07,0.987,1688622480000
105.129,105.129,104.831,104.831,0.411,1688622540000
104.819,104.84,104.784,104.786,0.4,1688622600000
104.909,105.06,104.909,105.06,0.21,1688622660000
105.302,105.302,105.112,105.151,0.226,1688622720000
105.075,105.142,105.071,105.142,0.213,1688622780000
105.079,105.088,105.069,105.088,0.196,1688622840000
105.043,105.043,104.998,104.998,1.068,1688622900000
105.029,105.127,105.029,105.127,0.195,1688622960000
105.089,105.111,105.017,105.017,0.207,1688623020000
105.017,105.131,105.015,105.131,9.907,1688623080000
105.224,105.224,105.219,105.219,0.213,1688623140000
105.138,105.171,105.107,105.107,0.238,1688623200000
105.129,105.138,105.056,105.101,49.908,1688623260000
105.055,105.055,104.876,105.0,5.242,1688623320000
105.0,105.0,104.925,104.925,0.192,1688623380000
104.849,104.869,104.627,104.628,14.262,1688623440000
104.601,104.616,104.538,104.538,0.027,1688623500000
104.511,104.53,104.482,104.53,1.065,1688623560000
104.502,104.572,104.491,104.572,0.428,1688623620000
104.53,104.53,104.35,104.39,54.64,1688623680000
104.373,104.444,104.373,104.398,0.209,1688623740000
104.324,104.324,104.199,104.263,25.456,1688623800000
104.341,104.341,104.258,104.258,1.627,1688623860000
104.27,104.271,104.117,104.174,50.597,1688623920000
104.209,104.225,104.149,104.217,141.687,1688623980000
104.182,104.409,104.182,104.293,6.341,1688624040000
104.308,104.501,104.308,104.5,32.474,1688624100000
104.467,104.467,104.174,104.174,67.765,1688624160000
104.142,104.142,103.875,104.03,73.427,1688624220000
104.189,104.221,104.189,104.191,0.213,1688624280000
104.183,104.184,104.047,104.05,22.265,1688624340000
103.983,103.983,103.951,103.973,0.017,1688624400000
104.001,104.129,104.001,104.083,0.199,1688624460000
104.167,104.168,104.042,104.074,40.382,1688624520000
104.122,104.122,104.08,104.08,2.543,1688624580000
104.12,104.188,104.12,104.122,40.451,1688624640000
104.183,104.199,104.183,104.199,0.029,1688624700000
104.336,104.407,104.336,104.407,0.006,1688624760000
104.473,104.708,104.473,104.662,12.798,1688624820000
104.597,104.663,104.518,104.518,1.394,1688624880000
104.571,104.581,104.499,104.499,0.007,1688624940000
104.569,104.58,104.495,104.495,0.403,1688625000000
104.502,104.551,104.474,104.514,59.864,1688625060000
104.528,104.528,104.491,104.491,4.295,1688625120000
104.42,104.42,104.42,104.42,0.003,1688625180000
104.406,104.416,104.273,104.273,39.249,1688625240000
104.229,104.339,104.198,104.198,1.216,1688625300000
104.237,104.238,104.237,104.238,0.002,1688625360000
104.176,104.191,104.117,104.191,0.011,1688625420000
104.217,104.218,104.049,104.09,6.967,1688625480000
104.105,104.105,104.061,104.089,0.196,1688625540000
