o,h,l,c,v,t
18.993,19.001,18.962,18.962,5.8,1688601600000
18.965,18.965,18.959,18.959,0.02,1688601660000
18.967,18.981,18.961,18.981,0.09,1688601720000
18.991,19.064,18.991,19.017,128.95,1688601780000
19.005,19.021,19.005,19.021,28.58,1688601840000
19.021,19.049,19.021,19.049,48.93,1688601900000
19.056,19.067,19.056,19.056,26.29,1688601960000
19.077,19.087,19.05,19.058,55.78,1688602020000
19.058,19.086,19.058,19.086,2.18,1688602080000
19.087,19.18,19.087,19.17,75.06,1688602140000
19.17,19.174,19.163,19.173,30.39,1688602200000
19.158,19.172,19.158,19.165,1.09,1688602260000
19.165,19.167,19.116,19.157,2.14,1688602320000
19.162,19.239,19.162,19.177,25.09,1688602380000
19.131,19.131,19.12,19.13,3.16,1688602440000
19.151,19.21,19.137,19.21,13.41,1688602500000
19.199,19.212,19.187,19.212,14.27,1688602560000
19.207,19.23,19.206,19.23,14.44,1688602620000
19.231,19.243,19.222,19.23,31.11,1688602680000
19.233,19.315,19.232,19.295,281.25,1688602740000
19.277,19.291,19.242,19.283,66.35,1688602800000
19.267,19.316,19.267,19.316,3.46,1688602860000
19.325,19.325,19.325,19.325,0.02,1688602920000
19.325,19.422,19.325,19.422,222.25,1688602980000
19.44,19.494,19.428,19.475,204.87,1688603040000
19.47,19.521,19.47,19.52,27.85,1688603100000
19.482,19.482,19.482,19.482,0.01,1688603160000
19.45,19.607,19.45,19.607,833.08,1688603220000
19.616,19.629,19.586,19.629,308.72,1688603280000
19.612,19.621,19.545,19.545,27.84,1688603340000
19.57,19.604,19.512,19.52,1174.09,1688603400000
19.487,19.489,19.467,19.47,9.0,1688603460000
19.458,19.458,19.43,19.43,28.38,1688603520000
19.45,19.476,19.43,19.43,5.93,1688603580000
19.43,19.49,19.43,19.49,12.12,1688603640000
19.52,19.541,19.517,19.527,111.72,1688603700000
19.497,19.525,19.479,19.525,372.69,1688603760000
19.54,19.572,19.54,19.571,322.04,1688603820000
19.593,19.602,19.587,19.597,0.45,1688603880000
